"Authors","Year","Title","Journal","Volume","Issue","DOI","Number_of_Assessments","Number_Relevant","Relevance"
"Almeida E.A.B., Pie M.R., Brady S.G., Danforth B.N.","2012","Biogeography and diversification of colletid bees (Hymenoptera: Colletidae): Emerging patterns from the southern end of the world","Journal of Biogeography","39","3","10.1111/j.1365-2699.2011.02624.x","3","1","-1.0"
"Pannullo J.E., Li D., Haimes Y.Y.","1993","On the characteristics of extreme values for series systems","Reliability Engineering and System Safety","40","2","10.1016/0951-8320(93)90100-D","3","1","-1.0"
"Wu D., Zhou Y.","2010","Catastrophe bond and risk modeling: A review and calibration using Chinese earthquake loss data","Human and Ecological Risk Assessment","16.0","3","10.1080/10807031003788592","3","1","-1.0"
"Wojcik D.","2011","Avertive Apocalypticism","The Oxford Handbook of Millennialism","","","10.1093/oxfordhb/9780195301052.003.0004","3","1","-1.0"
"Beach H.","1978","Doom of Democracy","RUSI Journal","123","2","10.1080/03071847809422901","3","1","-1.0"
"Pierazzo E., Hahmann A.N., Sloan L.C.","2003","Chicxulub and climate: Radiative perturbations of impact-produced s-bearing gases","Astrobiology","3","1","10.1089/153110703321632453","3","1","-1.0"
"White R.R.","2001","Catastrophe options: An experiment in the management of catastrophic risk in the United States","Journal of Environmental Management","62","3","10.1006/jema.2000.0433","3","1","-1.0"
"Rosenbaum M., Ryan M., Urrutia L., Matzner R.","1987","Singularities in Kaluza-Klein-Friedmann cosmological models","Physical Review D","36","4","10.1103/PhysRevD.36.1032","3","1","-1.0"
"Kirkwood G.P., Beddington J.R., Rossouw J.A.","1994","Harvesting species of different lifespans","Large-scale ecology and conservation biology. 35th BES symposium, Southampton, 1993","","","","3","1","-1.0"
"Chen B., He G., Qi J., Su M., Zhou S., Jiang M.","2013","Greenhouse gas inventory of a typical high-end industrial park in china","The Scientific World Journal","2013","","10.1155/2013/717054","3","1","-1.0"
"Rhodes C.J.","2008","The oil question: Nature and prognosis","Science Progress","91","4","10.3184/003685008X395201","3","1","-1.0"
"Meng X.W., Ye M.H.","2013","Study on the architectural education ponder based on the background of low-carbon illustrated by lanzhou u niversity of technology","Applied Mechanics and Materials","409-410","","10.4028/www.scientific.net/AMM.409-410.1555","3","1","-1.0"
"Franck S., Block A., Bloh W., Bounama C., Garrido I., Schellnhuber H.-J.","2001","Planetary habitability: Is Earth commonplace in the Milky Way?","Naturwissenschaften","88","10","10.1007/s001140100257","3","1","-1.0"
"Garrick B.J., Stetkar J.W., Bembia P.J.","2010","Quantitative risk assessment of the new york state operated west valley radioactive waste disposal area","Risk Analysis","30","8","10.1111/j.1539-6924.2010.01418.x","3","1","-1.0"
"Zhengtong Y., Wenfeng Z.","2011","The research of environmental pollution examination system based on the Cloud Computing","2011 IEEE 3rd International Conference on Communication Software and Networks, ICCSN 2011","","","10.1109/ICCSN.2011.6013957","3","1","-1.0"
"Zschau J., Parolai S., Tyagunov S., Bindi D., Pittore M., Fleming K., Wieland M.","2014","Uncertainty and sensitivity analyses in seismic risk assessments on the example of Cologne, Germany","Natural Hazards and Earth System Sciences","14","6","10.5194/nhess-14-1625-2014","3","1","-1.0"
"Eissler K.R.","1995","The end of an illusion, Sigmund Freud and his 20th century [Das Ende einer Illusion, Sigmund Freud und sein 20. Jahrhundert.]","Psyche","49","12","","3","1","-1.0"
"Torrance S.","2013","Artificial agents and the expanding ethical circle","AI and Society","28","4","10.1007/s00146-012-0422-2","3","1","-1.0"
"Forgas J.P., Jolliffe C.D.","1994","How conservative are greenies? Environmental attitudes, conservatism, and traditional morality among University students","Australian Journal of Psychology","46","3","10.1080/00049539408259486","3","1","-1.0"
"Kennedy-Pipe C., Rengger N.","2006","Apocalypse now? Continuities or disjunctions in world politics after 9/11","International Affairs","82","3","10.1111/j.1468-2346.2006.00550.x","3","1","-1.0"
"Thomas A., Fritz L.","2006","Disaster Relief, Inc.","Harvard Business Review","84","11","","3","1","-1.0"
"Kelsey E., Armstrong C.","2012","Finding hope in a world of environmental catastrophe","Learning for Sustainability in Times of Accelerating Change","","","10.3920/978-90-8686-757-8","3","1","-1.0"
"Kott A., Hubbard P., Martin M.","2001","Instability of distributed decision making in in command and control systems","Proceedings of the American Control Conference","4","","10.1109/ACC.2001.946300","3","1","-1.0"
"Knudsen D.D.","1978","Virtues, values and victims: Toward a theory of social problems","Sociological Focus","11","3","10.1080/00380237.1978.10570316","3","1","-1.0"
"DEMARTIS D.","1965","REFLECTIONS ON DELUSIONS OF NIHILISM AND THE END OF THE WORLD. [R'EFLEXIONS SUR LES D'ELIRES DE N'EGATION ET DE FIN DU MONDE.]","L' Evolution psychiatrique","30","","","3","1","-1.0"
"Stearman A.M.","1994","""Only slaves climb trees"" - Revisiting the myth of the ecologically noble savage in Amazonia","Human Nature","5","4","10.1007/BF02734165","3","1","-1.0"
"Marquet V., Salles D.","2014","Adaptation to climate change in France and Quebec : Convergent institutional constructions, divergent diffusion","Critique Internationale","62","1","10.3917/crii.062.0073","3","1","-1.0"
"Leaf A.","1989","Potential Health Effects of Global Climatic and Environmental Changes","New England Journal of Medicine","321","23","10.1056/NEJM198912073212305","3","1","-1.0"
"Veeken H.","2000","Aids: The world's future is in 'their' hands, but comes from 'our' pocket; an impression from the World Aids Conference in South Africa [Aids: De toekomst van de wereld ligt in 'hun' handen, maar komt uit 'onze' zak; een impressie van de Wereldaidsconferentie in Zuid-Afrika]","Nederlands Tijdschrift voor Geneeskunde","144","49","","3","1","-1.0"
"Sun Q., Shi M.","2013","Launch the research on eco-environmental history and broaden the interpretation of human history","International Journal of Applied Environmental Sciences","8","4","","3","1","-1.0"
"Karlsson R.","2013","Ambivalence, Irony, And democracy in the Anthropocene","Futures","46","","10.1016/j.futures.2012.12.002","3","1","-1.0"
"Megoran N.","2013","Radical politics and the Apocalypse: Activist readings of Revelation","Area","45","2","10.1111/j.1475-4762.2012.01125.x","3","1","-1.0"
"Sherif Y.S.","1990","Environmental and technological risks and hazards","Microelectronics Reliability","30","5","10.1016/0026-2714(90)90562-2","3","1","-1.0"
"Bac D., Badulescu A., Lang E.","2011","Excesses and challenges of the economic growth. A brief history: From malthus to al gore","Actual Problems of Economics","117","3","","3","1","-1.0"
"Chavas J.-P.","2000","The microeconomics of food security","Australian Journal of Agricultural and Resource Economics","44","1","","3","1","-1.0"
"Latyshev L., Semashko N.","1996","Ecological limitation to the energy transfer from the outer space to earth","Proceedings of the Intersociety Energy Conversion Engineering Conference","3","","","3","1","-1.0"
"Brunnschweiler C.N., Bulte E.H.","2008","Linking natural resources to slow growth and more conflict","Science","320","5876","10.1126/science.1154539","3","1","-1.0"
"Frohwein H.I., Lambert J.H.","2000","Risk of extreme events in multiobjective decision trees. Part 1. Severe events","Risk Analysis","20","1","10.1111/0272-4332.00011","3","1","-1.0"
"Plutynski A.","2009","Ecology and the Environment","The Oxford Handbook of Philosophy of Biology","","","10.1093/oxfordhb/9780195182057.003.0022","3","1","-1.0"
"Taylor L.E., Swan T., Mayer K.H.","2012","HIV coinfection with hepatitis C virus: evolving epidemiology and treatment paradigms.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","55 Suppl 1","","10.1093/cid/cis367","3","1","-1.0"
"Sobolev A.V., Krivolutskaya N.A., Kuzmin D.V.","2009","Petrology of the parental melts and mantle sources of Siberian trap magmatism","Petrology","17","3","10.1134/S0869591109030047","3","1","-1.0"
"DeCanio S.J.","2009","The political economy of global carbon emissions reductions","Ecological Economics","68","3","10.1016/j.ecolecon.2008.10.003","3","1","-1.0"
"Chhibber A., Laajaj R.","2008","Disasters, climate change and economic development in sub-saharan africa: Lessons and directions","Journal of African Economies","17","SUPPL. 2","10.1093/jae/ejn020","3","1","-1.0"
"O'Hanlon M.E., Orszag P.R., Daalder I.H., Destler I.M., Gunter D.L., Litan R.E., Steinberg J.B.","2003","Protecting the American homeland: A preliminary analysis","Protecting the American Homeland: A Preliminary Analysis","","","","3","1","-1.0"
"Singer M.","2009","Beyond global warming: Interacting ecocrises and the critical anthropology of health","Anthropological Quarterly","82","3","10.1353/anq.0.0077","3","1","-1.0"
"Hollander J.M.","2003","The real environmental crisis: Why poverty, not affluence, is the environment's number one enemy","The Real Environmental Crisis: Why Poverty, Not Affluence, Is the Environment's Number One Enemy","","","","3","1","-1.0"
"Xu N., Davidson R.A., Nozick L.K., Dodo A.","2007","The risk-return tradeoff in optimizing regional earthquake mitigation investment","Structure and Infrastructure Engineering","3","2","10.1080/15732470600591083","3","1","-1.0"
"Krull E.S., Retallack G.J., Campbell H.J., Lyon G.L.","2000","δ13Corg chemostratigraphy of the Permian-Triassic boundary in the Maitai Group, New Zealand: Evidence for high-latitudinal methane release","New Zealand Journal of Geology and Geophysics","43","1","10.1080/00288306.2000.9514868","3","1","-1.0"
"Kaiser M.J., Pulsipher A.G.","2007","Offshore energy loss - 3: Weather's role important in marine E&D operations","Oil and Gas Journal","105","19","","3","1","-1.0"
"Zernack A.V., Cronin S.J., Bebbington M.S., Price R.C., Smith I.E., Stewart R.B., Procter J.N.","2012","Forecasting catastrophic stratovolcano collapse: A model based on Mount Taranaki, New Zealand","Geology","40","11","10.1130/G33277.1","3","1","-1.0"
"Ololade O.O.","2018","Understanding the nexus between energy and water: A basis for human survival in South Africa","Development Southern Africa","","","10.1080/0376835X.2018.1426445","3","1","-1.0"
"Sherali H.D., Desai J., Glickman T.S.","2004","Allocating Emergency Response Resources to Minimize Risk with Equity Considerations","American Journal of Mathematical and Management Sciences","24","3-4","10.1080/01966324.2004.10737638","3","1","-1.0"
"Kulkarni V.S., Thapa G., Hill K., Gaiha R.","2014","Have Natural Disasters Become Deadlier?","Sustainable Economic Development: Resources, Environment, and Institutions","","","10.1016/B978-0-12-800347-3.00023-6","3","1","-1.0"
"Hsiang S.M., Meng K.C., Cane M.A.","2011","Civil conflicts are associated with the global climate","Nature","476","7361","10.1038/nature10311","3","1","-1.0"
"Natarajan K., Paventhan A., Anjana S., Shobha K.R., Sahana M.N., Ankith S.","2016","An IoT based 6LoWPAN enabled experiment for water management","International Symposium on Advanced Networks and Telecommunication Systems, ANTS","2016-February","","10.1109/ANTS.2015.7413654","3","1","-1.0"
"Wallach W., Allen C.","2009","Moral Machines: Teaching Robots Right from Wrong","Moral Machines: Teaching Robots Right from Wrong","","","10.1093/acprof:oso/9780195374049.001.0001","3","1","-1.0"
"Polanska K.","2016","Human rights equals human survival?","International Sociology","31","2","10.1177/0268580915627083","3","1","-1.0"
"Jolly R., Emmerij L., Weiss T.G., Annan K.A.","2009","Un ideas that changed the world","UN Ideas That Changed the World","","","","3","1","-1.0"
"Thacker E.","2013","Notes on elxtinction and existence","Configurations","20","1-2","","3","1","-1.0"
"Pielak C., Cohen A.","2016","Archiving the apocalypse","Midwest Quarterly","57","3","","3","1","-1.0"
"Mascle G.","1997","Biosphere crisis and ozone depletion: A new hypothesis [Crise de la biosphère et trou d'ozone: Une hypothèse nouvelle]","Geobios","30","SUPPL. 1","","3","1","-1.0"
"Elisabeth Paté-Cornell M.","1996","Global risk management","Journal of Risk and Uncertainty","12","2-3","","3","1","-1.0"
"Zhang H., Cong Y.","2014","China","Handbook of Global Bioethics","","","10.1007/978-94-007-2512-6_11","3","1","-1.0"
"Metzger P.T.","2016","Space development and space science together, an historic opportunity","Space Policy","37","","10.1016/j.spacepol.2016.08.004","3","1","-1.0"
"Richard E.","2011","Bioregionalism and global ethics: A transactional approach to achieving ecological sustainability, social justice, and human well-being","Bioregionalism and Global Ethics: A Transactional Approach to Achieving Ecological Sustainability, Social Justice, and Human Well-Being","","","10.4324/9780203843086","3","1","-1.0"
"Kawaragi K., Sekine Y., Kadono T., Sugita S., Ohno S., Ishibashi K., Kurosawa K., Matsui T., Ikeda S.","2009","Direct measurements of chemical composition of shock-induced gases from calcite: an intense global warming after the Chicxulub impact due to the indirect greenhouse effect of carbon monoxide","Earth and Planetary Science Letters","282","1-4","10.1016/j.epsl.2009.02.037","3","1","-1.0"
